year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1963,1759 VICTORIA PARK AVE,7,100,100,3,3,3,3,1960,87.9720394736842
1961,1765 VICTORIA PARK AVE,7,67,84,1,3,3,1,1960,87.9720394736842
1959,1817 VICTORIA PARK AVE,4,36,94,1,3,3,3,1950,86.53728070175438
1964,1840 VICTORIA PARK AVE,12,204,69,1,3,3,2,1960,87.9720394736842
1964,2265 VICTORIA PARK AVE,6,71,98,3,3,3,3,1960,87.9720394736842
1971,2739 VICTORIA PARK AVE,15,203,78,1,3,3,1,1970,88.4402489626556
1971,2743 VICTORIA PARK AVE,15,201,77,1,3,3,1,1970,88.4402489626556
1960,8 VINCI CRES,4,33,87,3,0,2,2,1960,87.9720394736842
1960,30 VINCI CRES,4,33,86,3,0,2,2,1960,87.9720394736842
1967,5 WAKUNDA PL,11,198,87,2,3,3,2,1960,87.9720394736842
1965,6-10 WALMER RD,18,131,91,2,3,3,3,1960,87.9720394736842
1965,11 WALMER RD,7,63,100,0,3,3,3,1960,87.9720394736842
1970,15 WALMER RD,10,78,83,1,3,3,2,1970,88.4402489626556
1960,30 WALMER RD,3,40,74,2,3,2,2,1960,87.9720394736842
1966,35 WALMER RD,15,174,82,1,3,3,3,1960,87.9720394736842
1961,40 WALMER RD,4,33,74,1,3,3,3,1960,87.9720394736842
1958,50 WALMER RD,4,35,84,2,3,2,2,1950,86.53728070175438
1964,682 WARDEN AVE,15,223,87,3,3,2,2,1960,87.9720394736842
1963,90 WARREN RD,5,79,87,2,3,3,1,1960,87.9720394736842
